2999
29987
RNN(
  (embedding): Embedding(2440, 650)
  (lstm): LSTM(650, 200, num_layers=2, batch_first=True, dropout=0.5)
  (dropout): Dropout(p=0.5)
  (fc): Linear(in_features=200, out_features=2440, bias=True)
  (sig): Softmax()
)
Training for 5 epoch(s)...
epoch  1
Epoch:    1/5     Loss: 7.810519218444824

Epoch:    1/5     Loss: 7.804816246032715

Epoch:    1/5     Loss: 7.797738869984944

Epoch:    1/5     Loss: 7.789653539657593

Epoch:    1/5     Loss: 7.781952285766602

Epoch:    1/5     Loss: 7.774712244669597

Epoch:    1/5     Loss: 7.7637039593287875

Epoch:    1/5     Loss: 7.750882267951965

Epoch:    1/5     Loss: 7.734278678894043

Epoch:    1/5     Loss: 7.708853483200073

Epoch:    1/5     Loss: 7.667070562189275

Epoch:    1/5     Loss: 7.599176287651062

Epoch:    1/5     Loss: 7.5335211753845215

Epoch:    1/5     Loss: 7.4617398125784735

Epoch:    1/5     Loss: 7.405557123819987

Epoch:    1/5     Loss: 7.333930671215057

Epoch:    1/5     Loss: 7.277240360484404

Epoch:    1/5     Loss: 7.225289821624756

Epoch:    1/5     Loss: 7.193723628395482

Epoch:    1/5     Loss: 7.147437167167664

Epoch:    1/5     Loss: 7.0979460534595304

Epoch:    1/5     Loss: 7.065546274185181

Epoch:    1/5     Loss: 7.0285961109658945

Epoch:    1/5     Loss: 6.971081634362538

Epoch:    1/5     Loss: 6.925807991027832

Epoch:    1/5     Loss: 6.887343296637902

Epoch:    1/5     Loss: 6.868116714336254

Epoch:    1/5     Loss: 6.846869128090995

Epoch:    1/5     Loss: 6.807316336138495

Epoch:    1/5     Loss: 6.779415432612101

Epoch:    1/5     Loss: 6.752112788538779

Epoch:    1/5     Loss: 6.729473784565926

Epoch:    1/5     Loss: 6.69760849981597

Epoch:    1/5     Loss: 6.6673413444967835

Epoch:    1/5     Loss: 6.6432879992893765

Epoch:    1/5     Loss: 6.623514042960273

Epoch:    1/5     Loss: 6.608473236496384

Epoch:    1/5     Loss: 6.59223925439935

Epoch:    1/5     Loss: 6.569066817943867

Epoch:    1/5     Loss: 6.547906613349914

Epoch:    1/5     Loss: 6.524115853193329

Epoch:    1/5     Loss: 6.504984594526745

Epoch:    1/5     Loss: 6.490550773088322

Epoch:    1/5     Loss: 6.467138788916848

Epoch:    1/5     Loss: 6.45288315878974

Epoch:    1/5     Loss: 6.436942318211431

Epoch:    1/5     Loss: 6.417389260961654

Epoch:    1/5     Loss: 6.399003674586614

Epoch:    1/5     Loss: 6.382178549863855

Epoch:    1/5     Loss: 6.3697249221801755

Epoch:    1/5     Loss: 6.35598518334183

Epoch:    1/5     Loss: 6.343840938348037

Epoch:    1/5     Loss: 6.332550093812762

Epoch:    1/5     Loss: 6.3182207301810935

Epoch:    1/5     Loss: 6.309705248746005

Epoch:    1/5     Loss: 6.2963376215526035

Epoch:    1/5     Loss: 6.2788138138620475

Epoch:    1/5     Loss: 6.270494592600856

Epoch:    1/5     Loss: 6.257361678753869

Epoch:    1/5     Loss: 6.244935353597005

Epoch:    1/5     Loss: 6.235189492585229

Epoch:    1/5     Loss: 6.226900492945025

Epoch:    1/5     Loss: 6.2162094873095315

Epoch:    1/5     Loss: 6.206138461828232

Epoch:    1/5     Loss: 6.194427079420823

Epoch:    1/5     Loss: 6.180975372141058

Epoch:    1/5     Loss: 6.173633134187157

